Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Description,Location,District,City
A308173109,شقة,4.0,3.0,140.0,905000.0,شقه حي القادسية,القادسية، شرق الرياض، الرياض,حي القادسية,الرياض
Y437201426,دور,5.0,4.0,205.0,750000.0,دور أول علوي,الجنادرية، شرق الرياض، الرياض,حي الجنادرية,الرياض
Z584436597,دور,4.0,5.0,305.0,1450000.0,للبيع دور علوي تاون هاوس ممتاز القادسيه,القادسية، شرق الرياض، الرياض,حي القادسية,الرياض
E616539307,شقة,4.0,3.0,140.0,770000.0,شقة مودرن,القادسية، شرق الرياض، الرياض,حي القادسية,الرياض
L598121154,دور,3.0,3.0,500.0,860000.0,3 Bedroom Floor For Sale Shubra,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
K554727661,دور,4.0,4.0,214.0,760000.0,دور للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
F339327109,شقة,3.0,3.0,131.0,420000.0,شقة للبيع في الدار البيضاء، جنوب الرياض,الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
Y812356931,دور,3.0,3.0,155.0,1300000.0,أدوار فاخرة للبيع في العارض، شمال الرياض,العارض، شمال الرياض، الرياض,حي العارض,الرياض
B218814020,دور,3.0,3.0,550.0,1250000.0,شقة  للبيع في العريض، الرياض,العارض، شمال الرياض، الرياض,حي العارض,الرياض
Q544486555,دور,3.0,4.0,155.0,1650000.0,دور أرضي للبيع في قرطبة، شرق الرياض,قرطبة، شرق الرياض، الرياض,حي قرطبة,الرياض
K021886637,عمارة سكنية,0.0,0.0,900.0,12500000.0,"عمارة للبيع في النرجس, شمال الرياض",النرجس، شمال الرياض، الرياض,حي النرجس,الرياض
N790841066,شقة,3.0,3.0,157.0,585000.0,شقة للبيع في الزهراء، غرب الرياض,الزهرة، غرب الرياض، الرياض,حي الزهرة,الرياض
W292605016,فیلا,3.0,3.0,300.0,1800000.0,ادوار 3 غرف نوم للبيع في النرجس، الرياض,النرجس، شمال الرياض، الرياض,حي النرجس,الرياض
R127010331,فیلا,5.0,5.0,275.0,4200000.0,فيلا للبيع في حي الياسمين، شمال الرياض,الياسمين، شمال الرياض، الرياض,حي الياسمين,الرياض
E444987673,دور,3.0,4.0,500.0,860000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
H764010377,دور,3.0,3.0,250.0,950000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
P813494093,شقة,3.0,3.0,157.0,1139000.0,شقة للبيع في النرجس، شمال الرياض,النرجس، شمال الرياض، الرياض,حي النرجس,الرياض
X492348743,دور,5.0,3.0,199.0,650000.0,دور للبيع في  بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
K975489499,فیلا,5.0,5.0,562.0,1800000.0,للبيع فيلا في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
S697226943,فیلا,5.0,3.0,151.0,620000.0,أدوار للبيع في شارع النورس، الرياض,الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
